Month,Year,Return,,,,,
1,1922,0.0373,,,,,
2,1922,0.0356,,,,,
3,1922,0.0500,,,,,
4,1922,0.0618,,,,,
5,1922,0.0557,,,,,
6,1922,-0.0376,,,,,
7,1922,0.0113,,,,,
8,1922,0.0886,,,,,
9,1922,-0.0100,,,,,
10,1922,0.0219,,,,,
11,1922,-0.0503,,,,,
12,1922,0.0163,,,,,
1,1923,0.0115,,,,,
2,1923,0.0694,,,,,
3,1923,-0.0098,,,,,
4,1923,-0.0283,,,,,
5,1923,-0.0360,,,,,
6,1923,-0.0783,,,,,
7,1923,0.0123,,,,,
8,1923,0.0269,,,,,
9,1923,-0.0319,,,,,
10,1923,-0.0036,,,,,
11,1923,0.0610,,,,,
12,1923,0.0342,,,,,
1,1924,0.0346,,,,,
2,1924,-0.0105,,,,,
3,1924,-0.0162,,,,,
4,1924,0.0026,,,,,
5,1924,0.0106,,,,,
6,1924,0.0410,,,,,
7,1924,0.0428,,,,,
8,1924,0.0157,,,,,
9,1924,0.0000,,,,,
10,1924,-0.0100,,,,,
11,1924,0.0738,,,,,
12,1924,0.0510,,,,,
1,1925,0.0246,,,,,
2,1925,0.0190,,,,,
3,1925,-0.0677,,,,,
4,1925,0.0412,,,,,
5,1925,0.0500,,,,,
6,1925,-0.0030,,,,,
7,1925,0.0284,,,,,
8,1925,0.0073,,,,,
9,1925,0.0304,,,,,
10,1925,0.0614,,,,,
11,1925,-0.0156,,,,,
12,1925,0.0580,,,,,
1,1926,0.0023,,,,,
2,1926,-0.0402,,,,,
3,1926,-0.0499,,,,,
4,1926,0.0188,,,,,
5,1926,0.0203,,,,,
6,1926,0.0535,,,,,
7,1926,0.0346,,,,,
8,1926,0.0541,,,,,
9,1926,0.0213,,,,,
10,1926,-0.0327,,,,,
11,1926,0.0209,,,,,
12,1926,0.0210,,,,,
1,1927,-0.0053,,,,,
2,1927,0.0581,,,,,
3,1927,0.0165,,,,,
4,1927,0.0214,,,,,
5,1927,0.0503,,,,,
6,1927,-0.0168,,,,,
7,1927,0.0877,,,,,
8,1927,0.0545,,,,,
9,1927,0.0300,,,,,
10,1927,-0.0451,,,,,
11,1927,0.0778,,,,,
12,1927,0.0227,,,,,
1,1928,-0.0016,,,,,
2,1928,-0.0026,,,,,
3,1928,0.1121,,,,,
4,1928,0.0358,,,,,
5,1928,0.0099,,,,,
6,1928,-0.0317,,,,,
7,1928,0.0159,,,,,
